,lat,lon,Location Name,Title,Misinfo_Or_Books
293,35.1495343,-90.0489801,Memphis,aRepublicUnderAssault,books
294,39.0473451,-95.6751576,Topeka,aRepublicUnderAssault,books
295,42.4072107,-71.3824374,Massachusetts,aRepublicUnderAssault,books
296,,,,aRepublicUnderAssault,books
297,39.0080175,-77.48931189999999,The Home Depot,aRepublicUnderAssault,books
298,37.09024,-95.712891,United States,aRepublicUnderAssault,books
299,36.6970059,-93.3693524,Branson West,aRepublicUnderAssault,books
300,42.6889235,-84.2830245,Williamston,aRepublicUnderAssault,books
301,37.09024,-95.712891,United States,aRepublicUnderAssault,books
302,36.778261,-119.4179324,California,aRepublicUnderAssault,books
303,39.0039696,-77.4323924,Worldwide Goods,aRepublicUnderAssault,books
304,37.09024,-95.712891,United States,aRepublicUnderAssault,books
305,34.0489281,-111.0937311,Arizona,aRepublicUnderAssault,books
306,,,,aRepublicUnderAssault,books
307,28.5383832,-81.3789269,Orlando,aRepublicUnderAssault,books
308,31.9685988,-99.9018131,Texas,aRepublicUnderAssault,books
309,41.3219933,-84.2043905,Florida,aRepublicUnderAssault,books
310,55.378051,-3.435973,United Kingdom,aRepublicUnderAssault,books
311,36.778261,-119.4179324,California,aRepublicUnderAssault,books
312,28.5383832,-81.3789269,Orlando,aRepublicUnderAssault,books
313,53.9332706,-116.5765035,Alberta,aRepublicUnderAssault,books
314,-1.4563432,-48.501299,Belém,aRepublicUnderAssault,books
315,-35.675147,-71.542969,Chile,aRepublicUnderAssault,books
316,39.80004,-76.8785565,Land Of The Free! Firearms,aRepublicUnderAssault,books
317,41.5800945,-71.4774291,Rhode Island,aRepublicUnderAssault,books
318,29.95106579999999,-90.0715323,New Orleans,aRepublicUnderAssault,books
319,39.81833839999999,-100.528201,Oberlin,aRepublicUnderAssault,books
320,33.836081,-81.1637245,South Carolina,aRepublicUnderAssault,books
321,37.09024,-95.712891,United States,aRepublicUnderAssault,books
322,35.1495343,-90.0489801,Memphis,aRepublicUnderAssault,books
323,35.7595731,-79.01929969999999,North Carolina,aRepublicUnderAssault,books
324,39.977763,-105.1319296,Louisville,aRepublicUnderAssault,books
325,34.0522342,-118.2436849,Los Angeles,aRepublicUnderAssault,books
326,42.7594183,-88.21115329999999,Exxon,aRepublicUnderAssault,books
327,45.253783,-69.4454689,Maine,aRepublicUnderAssault,books
328,35.7595731,-79.01929969999999,North Carolina,aRepublicUnderAssault,books
329,39.0080175,-77.48931189999999,The Home Depot,aRepublicUnderAssault,books
330,38.253749,-78.458708,Planet Earth Diversified,aRepublicUnderAssault,books
331,41.2147851,-79.3853218,Clarion,aRepublicUnderAssault,books
332,40.07659779999999,-80.8690469,West Texas Roadhouse,aRepublicUnderAssault,books
333,41.2033216,-77.1945247,Pennsylvania,aRepublicUnderAssault,books
334,42.3714253,-83.4702132,Plymouth,aRepublicUnderAssault,books
335,40.7459078,-73.98581089999999,London Luxury,aRepublicUnderAssault,books
336,37.09024,-95.712891,United States,aRepublicUnderAssault,books
337,39.7589478,-84.1916069,Dayton,aRepublicUnderAssault,books
338,39.9611755,-82.99879419999999,Columbus,aRepublicUnderAssault,books
339,40.07659779999999,-80.8690469,West Texas Roadhouse,aRepublicUnderAssault,books
340,39.7589478,-84.1916069,Dayton,aRepublicUnderAssault,books
341,41.5800945,-71.4774291,Rhode Island,aRepublicUnderAssault,books
342,41.2147851,-79.3853218,Clarion,aRepublicUnderAssault,books
343,41.2033216,-77.1945247,Pennsylvania,aRepublicUnderAssault,books
344,35.7595731,-79.01929969999999,North Carolina,aRepublicUnderAssault,books
345,34.0522342,-118.2436849,Los Angeles,aRepublicUnderAssault,books
346,46.729553,-94.6858998,Minnesota,aRepublicUnderAssault,books
347,36.778261,-119.4179324,California,aRepublicUnderAssault,books
348,39.0039696,-77.4323924,Worldwide Goods,aRepublicUnderAssault,books
349,35.7595731,-79.01929969999999,North Carolina,aRepublicUnderAssault,books
350,38.9580365,-77.3608452,Barcelona Wine Bar,aRepublicUnderAssault,books
351,40.7459078,-73.98581089999999,London Luxury,aRepublicUnderAssault,books
352,38.9071923,-77.0368707,Washington,aRepublicUnderAssault,books
353,37.09024,-95.712891,United States,aRepublicUnderAssault,books
354,31.9685988,-99.9018131,Texas,aRepublicUnderAssault,books
355,31.9685988,-99.9018131,Texas,aRepublicUnderAssault,books
356,32.7078751,-96.9209135,Dallas-Fort Worth Metropolitan Area,aRepublicUnderAssault,books
357,-27.4704528,153.0260341,Brisbane,aRepublicUnderAssault,books
358,37.09024,-95.712891,United States,aRepublicUnderAssault,books
359,32.7078751,-96.9209135,Dallas-Fort Worth Metropolitan Area,aRepublicUnderAssault,books
360,39.977763,-105.1319296,Louisville,aRepublicUnderAssault,books
361,42.4072107,-71.3824374,Massachusetts,aRepublicUnderAssault,books
362,31.9685988,-99.9018131,Texas,aRepublicUnderAssault,books
363,28.5383832,-81.3789269,Orlando,aRepublicUnderAssault,books
364,27.6648274,-81.5157535,Florida,aRepublicUnderAssault,books
365,38.253749,-78.458708,Planet Earth Diversified,aRepublicUnderAssault,books
366,39.9611755,-82.99879419999999,Columbus,aRepublicUnderAssault,books
367,,,,aRepublicUnderAssault,books
368,38.9071923,-77.0368707,Washington,aRepublicUnderAssault,books
369,38.9099682,-77.3832072,,aRepublicUnderAssault,books
370,,,,aRepublicUnderAssault,books
371,,,,aRepublicUnderAssault,books
372,32.3182314,-86.902298,Alabama,aRepublicUnderAssault,books
373,38.9071923,-77.0368707,Washington,aRepublicUnderAssault,books
374,29.7604267,-95.3698028,Houston,aRepublicUnderAssault,books
