,lat,lon,Location Name,Misinfo_Or_Books,Title
296,40.1645847,-76.40321709999999,Heil Trailer International,misinfo,civilWar
297,-25.7478676,28.2292712,Pretoria,misinfo,civilWar
298,52.6139686,0.8864021,Norfolk,misinfo,civilWar
299,44.494887,11.3426162,Bologna,misinfo,civilWar
300,,,,misinfo,civilWar
301,,,,misinfo,civilWar
302,43.7844397,-88.7878678,Wisconsin,misinfo,civilWar
303,44.448423,-95.7911916,Marshall,misinfo,civilWar
304,37.09024,-95.712891,United States,misinfo,civilWar
305,53.7608608,-98.8138762,Manitoba,misinfo,civilWar
306,30.0688512,-81.8603778,Middleburg,misinfo,civilWar
307,,,,misinfo,civilWar
308,34.2384241,-117.2358006,Twin Peaks,misinfo,civilWar
309,45.515232,-122.6783853,Portland,misinfo,civilWar
310,38.8055206,-77.0550914,EastCoast Entertainment,misinfo,civilWar
311,37.3784694,-79.8069828,Blue Ridge,misinfo,civilWar
312,59.9138688,10.7522454,Oslo,misinfo,civilWar
313,35.5174913,-86.5804473,Tennessee,misinfo,civilWar
314,38.9241478,-77.2329871,North Italia,misinfo,civilWar
315,-25.274398,133.775136,Australia,misinfo,civilWar
316,36.0726354,-79.7919754,Greensboro,misinfo,civilWar
317,35.5174913,-86.5804473,Tennessee,misinfo,civilWar
318,40.7318431,-73.98865459999999,Westside Market NYC,misinfo,civilWar
319,35.6074041,140.1065366,Chiba,misinfo,civilWar
320,39.0367652,-77.4110178,MOON LOUNGE,misinfo,civilWar
321,,,,misinfo,civilWar
322,40.7127753,-74.0059728,New York,misinfo,civilWar
323,44.977753,-93.2650108,Minneapolis,misinfo,civilWar
324,38.99066570000001,-77.026088,Silver Spring,misinfo,civilWar
325,42.4072107,-71.3824374,Massachusetts,misinfo,civilWar
326,44.5588028,-72.57784149999999,Vermont,misinfo,civilWar
327,36.171563,-115.1391009,Las Vegas,misinfo,civilWar
328,,,,misinfo,civilWar
329,,,,misinfo,civilWar
330,43.0721661,-89.4007501,Madison,misinfo,civilWar
331,43.7844397,-88.7878678,Wisconsin,misinfo,civilWar
332,38.8126551,-77.1190778,CVS,misinfo,civilWar
333,43.646987,-80.017663,Halton Hills,misinfo,civilWar
334,37.09024,-95.712891,United States,misinfo,civilWar
335,39.8992656,-76.8524733,Nashville,misinfo,civilWar
336,56.130366,-106.346771,Canada,misinfo,civilWar
337,32.2539787,-110.9741769,Tucson,misinfo,civilWar
338,51.253775,-85.323214,Ontario,misinfo,civilWar
339,51.5072178,-0.1275862,London,misinfo,civilWar
